07/Nov/2018 - 17:47:30, p5, 1458, Autorizado 
07/Nov/2018 - 17:47:36, p5, 4287, Negado 
07/Nov/2018 - 17:47:42, p2, 7458, Negado 
07/Nov/2018 - 17:47:56, p2, 4298, Autorizado 
07/Nov/2018 - 18:04:07, p2, 1458, Autorizado 
07/Nov/2018 - 18:04:11, p2, 100, Autorizado 
07/Nov/2018 - 18:04:20, p2, 7458, Negado 
07/Nov/2018 - 18:06:16, p2, 100, Autorizado 
07/Nov/2018 - 18:06:32, p5, 1458, Autorizado 
07/Nov/2018 - 18:06:35, p5, 99, Negado 
07/Nov/2018 - 18:06:38, p5, 100, Negado 
07/Nov/2018 - 18:06:42, p5, 4287, Negado 
07/Nov/2018 - 18:09:59, p5, 1458, Autorizado 
07/Nov/2018 - 18:10:01, p5, 100, Negado 
07/Nov/2018 - 18:10:05, p5, 7458, Negado 
07/Nov/2018 - 18:10:08, p5, 99, Negado 
07/Nov/2018 - 18:11:49, p5, 1458, Autorizado 
08/Nov/2018 - 13:05:11, p5, 10, Negado 
08/Nov/2018 - 13:06:15, p2, 100, Autorizado 
08/Nov/2018 - 13:12:35, p-1070361408, 1458, Autorizado 
08/Nov/2018 - 13:12:42, p-1070361408, 7458, Autorizado 
08/Nov/2018 - 13:13:06, p224646336, 7458, Negado 
08/Nov/2018 - 13:13:12, p224646336, 4287, Negado 
08/Nov/2018 - 13:13:24, p224646336, 7458, Negado 
08/Nov/2018 - 13:13:27, p224646336, 100, Negado 
08/Nov/2018 - 13:13:33, p224646336, 6528, Negado 
08/Nov/2018 - 13:13:36, p224646336, 4287, Negado 
08/Nov/2018 - 13:13:44, p-177421120, 7458, Autorizado 
08/Nov/2018 - 13:14:01, p-177421120, 4298, Autorizado 
08/Nov/2018 - 13:14:16, p1904809152, 6528, Negado 
08/Nov/2018 - 13:14:26, p1904809152, 7458, Negado 
08/Nov/2018 - 13:15:38, p3, 6528, Autorizado 
08/Nov/2018 - 13:15:45, p3, 7458, Negado 
08/Nov/2018 - 13:15:47, p3, 100, Autorizado 
08/Nov/2018 - 13:15:50, p3, 1458, Autorizado 
08/Nov/2018 - 13:23:05, p5, 1458, Autorizado 
08/Nov/2018 - 13:24:26, p5, 1458, Autorizado 
08/Nov/2018 - 13:24:28, p5, 100, Negado 
08/Nov/2018 - 13:24:32, p5, 4298, Negado 
08/Nov/2018 - 13:25:27, p5, 99, Negado 
08/Nov/2018 - 13:25:31, p5, 99, Negado 
08/Nov/2018 - 13:29:03, p2, 1458, Autorizado 
08/Nov/2018 - 13:29:09, p2, 7458, Negado 
08/Nov/2018 - 13:29:13, p2, 100, Autorizado 
08/Nov/2018 - 13:31:47, p2, 7458, Negado 
08/Nov/2018 - 13:31:50, p2, 100, Autorizado 
08/Nov/2018 - 13:41:42, p3, 1458, Autorizado 
08/Nov/2018 - 13:41:46, p3, 4298, Negado 
08/Nov/2018 - 13:41:49, p3, 100, Autorizado 
08/Nov/2018 - 13:41:58, p3, 99, Negado 
29/Dec/2018 - 15:05:58, p5, 1458, Autorizado 
29/Dec/2018 - 15:06:09, p1, 4298, Autorizado 
29/Dec/2018 - 15:06:16, p5, 4287, Negado 
29/Dec/2018 - 15:06:21, p1, 0, Negado 
29/Dec/2018 - 15:09:18, p5, 4287, Negado 
